id,text_en,text_am,label,ubuntu_harm_type,relational_harm,relation_target,severity,context,language,rationale_en,rationale_am
392,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
393,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
394,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
395,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
396,You should be pushed out.,መባረር አለብህ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
397,They threaten our safety.,ደህንነታችንን ይሸብራሉ።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
398,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
399,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
400,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
401,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
402,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
403,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
404,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
405,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
406,Your voice does not matter here.,እዚህ ድምፅህ አይቆጠርም።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
407,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
408,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,public debate,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
409,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
410,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
411,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
412,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
413,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
414,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
415,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,public debate,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
416,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
417,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
418,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
419,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
420,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
421,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
422,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
423,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
424,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
425,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
426,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,community discussion,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
427,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
428,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
429,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
430,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
431,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
432,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
433,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
434,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
435,They are not real people.,እውነተኛ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,meeting,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
436,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
437,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
438,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
439,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
440,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
441,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
442,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
443,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
444,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
445,They are less than human.,ከሰው በታች ናቸው።,hate_speech,dehumanization,Yes,group,high,workplace,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
446,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
447,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,school,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
448,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,online forum,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
449,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
450,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
451,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
452,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
453,We should speak respectfully.,በክብር መናገር አለብን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
454,Leave our community now.,ከማህበረሰባችን አሁን ውጣ።,hate_speech,exclusion,Yes,group,high,online forum,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
455,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,workplace,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
456,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
457,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
458,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
459,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
460,Let us work for peace.,ለሰላም በጋራ እንስራ።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
461,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
462,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
463,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,community discussion,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
464,Their kind always ruins everything.,የእነሱ ዓይነት ሁልጊዜ ሁሉንም ያበላሻል።,hate_speech,stereotyping,Yes,group,medium,workplace,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
465,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
466,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
467,Respect helps communities grow stronger.,ክብር ማህበረሰቦችን ያጠናክራል።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
468,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
469,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
470,They are not fully human.,እነሱ ሙሉ ሰው አይደሉም።,hate_speech,dehumanization,Yes,group,high,community discussion,English-Amharic,Strips humanity from the target.,ሰውነትን ይክዳል።
471,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
472,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,family conversation,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
473,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,community discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
474,Different views can still be handled kindly.,የተለያዩ አስተያየቶች በቸርነት ሊታዩ ይችላሉ።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
475,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
476,We should correct mistakes without humiliation.,ስህተትን ያለ ውርደት ማስተካከል አለብን።,safe,none,No,none,low,public debate,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
477,Everyone has value in this room.,በዚህ ክፍል ያለ ሁሉም ሰው ዋጋ አለው።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
478,People deserve fairness and care.,ሰዎች ፍትሃዊነት እና እንክብካቤ ይገባቸዋል።,safe,none,No,none,low,online forum,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
479,People like them always cause trouble.,እንደ እነሱ ያሉ ሰዎች ሁልጊዜ ችግር ያመጣሉ።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
480,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,school,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
481,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
482,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
483,We can solve this together.,ይህን በጋራ ልንፈታ እንችላለን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
484,We should treat people fairly.,ሰዎችን በፍትሃዊነት ማየት አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
485,You do not belong here.,እዚህ አትመለከቱም።,hate_speech,belonging denial,Yes,group,high,meeting,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
486,A fair discussion includes every voice.,ፍትሃዊ ውይይት ሁሉንም ድምፅ ያካትታል።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
487,Get out of our space.,ከቦታችን ውጣ።,hate_speech,exclusion,Yes,group,high,civic discussion,English-Amharic,Pushes removal and rejection.,ማግለልን እና መከልከልን ያበረታታል።
488,You should stay silent.,ዝም ብለህ መቆየት አለብህ።,hate_speech,silencing,Yes,individual/group,medium,civic discussion,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
489,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,school,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
490,They are a danger to everyone.,እነሱ ለሁሉም ስጋት ናቸው።,hate_speech,threat,Yes,group,high,online forum,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
491,Everyone deserves dignity.,ሁሉም ሰው ክብር ይገባዋል።,safe,none,No,none,low,civic discussion,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
492,Let us find a solution that works for everyone.,ለሁሉም የሚሰራ መፍትሄ እንፈልግ።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
493,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,meeting,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
494,That group is always the problem.,ያ ቡድን ሁልጊዜ ችግር ነው።,hate_speech,stereotyping,Yes,group,medium,family conversation,English-Amharic,Uses harmful group stereotype.,ጎጂ የቡድን መደብ ያደርጋል።
495,We can disagree without hate.,ያለ ጥላቻ መለያየት እንችላለን።,safe,none,No,none,low,workplace,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
496,We should fear what they will do.,ምን እንደሚያደርጉ መፍራት አለብን።,hate_speech,threat,Yes,group,high,civic discussion,English-Amharic,Frames the target as danger.,እንደ ስጋት ይቀርባል።
497,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,public debate,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
498,You have no place among us.,ከእኛ መካከል ቦታ የለህም።,hate_speech,belonging denial,Yes,group,high,family conversation,English-Amharic,Denies membership and belonging.,አባልነትን እና ተሳትፎን ይከልክላል።
499,We should listen before judging.,ከመፍረድ በፊት ማዳመጥ አለብን።,safe,none,No,none,low,meeting,English-Amharic,"Affirms dignity, cooperation, and mutual respect.",ክብርን፣ ትብብርን እና መከባበርን ያበረታታል።
500,Nobody wants to hear you.,ማንም ሊሰማህ አይፈልግም።,hate_speech,silencing,Yes,individual/group,medium,school,English-Amharic,Suppresses participation and recognition.,ተሳትፎን እና መታወቅን ይከልክላል።
